template.clinical.guideSave,"Saves validate fields and identity duplicates, enforce record versions and reuse operation IDs for retries. Review the latest record explicitly after a conflict.",يتحقق الحفظ من الحقول وتكرار الهوية ونسخ السجل ويعيد استخدام معرّفات العمليات عند المحاولة مجدداً. راجع أحدث سجل صراحةً عند التعارض.,"सहेजते समय फ़ील्ड, दोहरी पहचान और रिकॉर्ड संस्करण जाँचे जाते हैं; पुनः प्रयास में वही ऑपरेशन ID उपयोग होती है। टकराव पर नवीनतम रिकॉर्ड की स्पष्ट समीक्षा करें।","സംരക്ഷിക്കുമ്പോൾ ഫീൽഡുകൾ, ആവർത്തിച്ച തിരിച്ചറിയൽ, രേഖാപതിപ്പുകൾ എന്നിവ പരിശോധിക്കുന്നു; വീണ്ടും ശ്രമിക്കുമ്പോൾ അതേ പ്രവർത്തന ID ഉപയോഗിക്കുന്നു. വൈരുദ്ധ്യമുണ്ടെങ്കിൽ പുതിയ രേഖ വ്യക്തമായി പരിശോധിക്കുക.",,Pending native review,
template.clinical.hasDisability,Has disability,لديه إعاقة,दिव्यांगता है,വൈകല്യമുണ്ട്,,Pending native review,
template.clinical.hasInsurance,Has insurance,لديه تأمين,बीमा है,ഇൻഷുറൻസ് ഉണ്ട്,,Pending native review,
template.clinical.hi,Hindi,الهندية,हिन्दी,ഹിന്ദി,,Pending native review,
template.clinical.history,History,السجل,इतिहास,ചരിത്രം,,Pending native review,
template.clinical.home,Home,المنزل,घर,വീട്,,Pending native review,
template.clinical.hospitalRecord,Hospital Record,سجل المستشفى,अस्पताल का रिकॉर्ड,ആശുപത്രി രേഖ,,Pending native review,
template.clinical.identifiers,Identifiers,المعرّفات,पहचान विवरण,തിരിച്ചറിയൽ വിവരങ്ങൾ,,Pending native review,
template.clinical.identity,Identity,الهوية,पहचान,തിരിച്ചറിയൽ,,Pending native review,
template.clinical.identityType,Identity type,نوع الهوية,पहचान का प्रकार,തിരിച്ചറിയൽ രേഖയുടെ തരം,,Pending native review,
template.clinical.illness,Illness,مرض,बीमारी,രോഗം,,Pending native review,
template.clinical.importSource,Import,استيراد,आयात,ഇംപോർട്ട്,,Pending native review,
template.clinical.inProgress,In progress,قيد التنفيذ,प्रगति में,പുരോഗമിക്കുന്നു,,Pending native review,
template.clinical.inactive,Inactive,غير نشط,निष्क्रिय,നിഷ്ക്രിയം,,Pending native review,
template.clinical.incomeBracket,Income bracket,فئة الدخل,आय वर्ग,വരുമാന വിഭാഗം,,Pending native review,
template.clinical.india,India,الهند,भारत,ഇന്ത്യ,,Pending native review,
template.clinical.individual,Individual,فردي,व्यक्तिगत,വ്യക്തിഗതം,,Pending native review,
template.clinical.inline,Inline,داخل الصفحة,पृष्ठ के भीतर,പേജിനുള്ളിൽ,,Pending native review,
template.clinical.insurance,Insurance,التأمين,बीमा,ഇൻഷുറൻസ്,,Pending native review,
template.clinical.insuranceDisclosure,Insurance Disclosure,الإفصاح للتأمين,बीमा प्रकटीकरण,ഇൻഷുറൻസ് വിവര വെളിപ്പെടുത്തൽ,,Pending native review,
template.clinical.insuranceType,Insurance type,نوع التأمين,बीमा का प्रकार,ഇൻഷുറൻസിന്റെ തരം,,Pending native review,
template.clinical.insurances,Insurances,وثائق التأمين,बीमा पॉलिसियाँ,ഇൻഷുറൻസ് പോളിസികൾ,,Pending native review,
template.clinical.invalid,Check the patient fields and try again.,تحقق من حقول المريض وحاول مجدداً.,रोगी फ़ील्ड जाँचें और पुनः प्रयास करें।,രോഗിയുടെ ഫീൽഡുകൾ പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക.,,Pending native review,
template.clinical.invoice,Invoice,فاتورة,चालान,ഇൻവോയ്സ്,,Pending native review,
template.clinical.issuedDate,Issued date,تاريخ الإصدار,जारी करने की तिथि,നൽകിയ തീയതി,,Pending native review,
template.clinical.issuingCountry,Issuing country,بلد الإصدار,जारी करने वाला देश,രേഖ നൽകിയ രാജ്യം,,Pending native review,
template.clinical.kiosk,Kiosk,جهاز الخدمة الذاتية,कियोस्क,കിയോസ്ക്,,Pending native review,
template.clinical.labPanel,Demo laboratory panel,مجموعة فحوص مختبرية تجريبية,डेमो प्रयोगशाला पैनल,ഡെമോ ലബോറട്ടറി പാനൽ,,Pending native review,
template.clinical.language,Language,اللغة,भाषा,ഭാഷ,,Pending native review,
template.clinical.lastName,Last name,اسم العائلة,उपनाम,കുടുംബപ്പേര്,,Pending native review,
template.clinical.layoutrail,Rail layout,تخطيط التنقل الجانبي,साइड नेविगेशन लेआउट,വശത്തെ നാവിഗേഷൻ ലേഔട്ട്,,Pending native review,
template.clinical.layouttabs,Tab layout,تخطيط علامات التبويب,टैब लेआउट,ടാബ് ലേഔട്ട്,,Pending native review,
template.clinical.layoutwizard,Wizard layout,تخطيط الخطوات,चरणबद्ध लेआउट,ഘട്ടങ്ങളായുള്ള ലേഔട്ട്,,Pending native review,
template.clinical.library,Clinical page templates,قوالب الصفحات السريرية,नैदानिक पृष्ठ टेम्पलेट,ക്ലിനിക്കൽ പേജ് ടെംപ്ലേറ്റുകൾ,,Pending native review,
template.clinical.line1,Address line 1,سطر العنوان الأول,पते की पहली पंक्ति,വിലാസത്തിന്റെ ആദ്യ വരി,,Pending native review,
template.clinical.line2,Address line 2,سطر العنوان الثاني,पते की दूसरी पंक्ति,വിലാസത്തിന്റെ രണ്ടാം വരി,,Pending native review,
template.clinical.local,Local,محلي,स्थानीय,പ്രാദേശികം,,Pending native review,
template.clinical.localScript,Local script,الكتابة المحلية,स्थानीय लिपि,പ്രാദേശിക ലിപി,,Pending native review,
template.clinical.location,Location,الموقع,स्थान,സ്ഥലം,,Pending native review,
template.clinical.maiden,Maiden,اسم العائلة قبل الزواج,विवाहपूर्व उपनाम,വിവാഹത്തിന് മുമ്പുള്ള കുടുംബപ്പേര്,,Pending native review,
template.clinical.main,Main,الفرع الرئيسي,मुख्य शाखा,പ്രധാന ശാഖ,,Pending native review,
template.clinical.male,Male,ذكر,पुरुष,പുരുഷൻ,,Pending native review,
template.clinical.maritalStatus,Marital status,الحالة الاجتماعية,वैवाहिक स्थिति,വൈവാഹിക നില,,Pending native review,
template.clinical.marketing,Marketing,التسويق,विपणन,വിപണനം,,Pending native review,
template.clinical.marketingAllowed,Marketing allowed,السماح بالتسويق,विपणन की अनुमति,വിപണനത്തിന് അനുമതി,,Pending native review,
template.clinical.married,Married,متزوج,विवाहित,വിവാഹിതർ,,Pending native review,
template.clinical.memberNumber,Member number,رقم العضوية,सदस्य संख्या,അംഗത്വ നമ്പർ,,Pending native review,
template.clinical.middleName,Middle name,الاسم الأوسط,मध्य नाम,മധ്യനാമം,,Pending native review,
template.clinical.mimeType,File type,نوع الملف,फ़ाइल का प्रकार,ഫയൽ തരം,,Pending native review,
template.clinical.ml,Malayalam,المالايالامية,मलयालम,മലയാളം,,Pending native review,
template.clinical.mobile,Mobile,الجوال,मोबाइल,മൊബൈൽ,,Pending native review,
template.clinical.mobileApp,Mobile App,تطبيق الهاتف,मोबाइल ऐप,മൊബൈൽ ആപ്പ്,,Pending native review,
template.clinical.modal,Modal,نافذة حوار,संवाद विंडो,ഡയലോഗ് വിൻഡോ,,Pending native review,
template.clinical.months,Months,أشهر,महीने,മാസം,,Pending native review,
template.clinical.mr,Mr,السيد,श्री,ശ്രീ,,Pending native review,
template.clinical.mrn,MRN,MRN,MRN,MRN,,Pending native review,
template.clinical.mrnAutomatic,Auto-generated on save. The system will assign a permanent MRN once this record is created. No manual entry is required.,يُنشأ تلقائيًا عند الحفظ. سيخصص النظام رقم سجل طبي دائمًا عند إنشاء السجل. لا يلزم إدخاله يدويًا.,सहेजने पर अपने आप बनता है। रिकॉर्ड बनते ही सिस्टम स्थायी MRN देगा। इसे हाथ से दर्ज करने की आवश्यकता नहीं है।,സേവ് ചെയ്യുമ്പോൾ സ്വയം സൃഷ്ടിക്കും. റെക്കോർഡ് സൃഷ്ടിച്ചാൽ സിസ്റ്റം സ്ഥിരമായ MRN നൽകും. നേരിട്ട് നൽകേണ്ടതില്ല.,,Pending native review,
template.clinical.mrnPending,MRN pending,رقم الملف الطبي قيد الإنشاء,चिकित्सा रिकॉर्ड संख्या लंबित,മെഡിക്കൽ റെക്കോർഡ് നമ്പർ ലഭിക്കാനുണ്ട്,,Pending native review,
template.clinical.ms,Ms,السيدة,सुश्री,ശ്രീമതി,,Pending native review,
template.clinical.name,Name,الاسم,नाम,പേര്,,Pending native review,
template.clinical.nameType,Name type,نوع الاسم,नाम का प्रकार,പേരിന്റെ തരം,,Pending native review,
template.clinical.names,Names,الأسماء,नाम,പേരുകൾ,,Pending native review,
template.clinical.nationalId,National id,الهوية الوطنية,राष्ट्रीय पहचान,ദേശീയ തിരിച്ചറിയൽ രേഖ,,Pending native review,
template.clinical.nationalIdType,National ID type,نوع الهوية الوطنية,राष्ट्रीय पहचान का प्रकार,ദേശീയ തിരിച്ചറിയൽ തരം,,Pending native review,
template.clinical.nationality,Nationality,الجنسية,राष्ट्रीयता,ദേശീയത,,Pending native review,
template.clinical.new,New,جديدة,नई,പുതിയത്,,Pending native review,
template.clinical.newPatient,New patient,مريض جديد,नया रोगी,പുതിയ രോഗി,,Pending native review,
template.clinical.no,No,لا,नहीं,ഇല്ല,,Pending native review,
template.clinical.noneRecorded,None recorded,لا توجد بيانات مسجلة,कुछ दर्ज नहीं है,ഒന്നും രേഖപ്പെടുത്തിയിട്ടില്ല,,Pending native review,
template.clinical.north,North,الفرع الشمالي,उत्तरी शाखा,വടക്കൻ ശാഖ,,Pending native review,
template.clinical.notFound,The patient record was not found.,لم يُعثر على سجل المريض.,रोगी रिकॉर्ड नहीं मिला।,രോഗിയുടെ രേഖ കണ്ടെത്തിയില്ല.,,Pending native review,
template.clinical.notRequired,Not Required,غير مطلوب,आवश्यक नहीं,ആവശ്യമില്ല,,Pending native review,
template.clinical.notStated,Not stated,غير مذكور,नहीं बताया गया,വ്യക്തമാക്കിയിട്ടില്ല,,Pending native review,
template.clinical.notes,Notes,ملاحظات,टिप्पणियाँ,കുറിപ്പുകൾ,,Pending native review,
template.clinical.oPositive,O positive,فصيلة O موجب,ओ पॉज़िटिव,ഒ പോസിറ്റീവ്,,Pending native review,
template.clinical.occupation,Occupation,المهنة,व्यवसाय,തൊഴിൽ,,Pending native review,
template.clinical.openRecord,Open record,فتح السجل,रिकॉर्ड खोलें,രേഖ തുറക്കുക,,Pending native review,
template.clinical.optedIn,Opted in,موافقة على التواصل,संपर्क की अनुमति,ബന്ധപ്പെടാൻ സമ്മതിച്ചു,,Pending native review,
template.clinical.order,Order,الطلب,ऑर्डर,ഓർഡർ,,Pending native review,
template.clinical.orders,Pending orders and requests,الطلبات المعلقة,लंबित आदेश और अनुरोध,തീർപ്പാകാത്ത ഓർഡറുകളും അഭ്യർത്ഥനകളും,,Pending native review,
template.clinical.other,Other,أخرى,अन्य,മറ്റുള്ളവ,,Pending native review,
template.clinical.outpatient,Outpatient,مريض خارجي,बाह्य रोगी,ഔട്ട്പേഷ്യന്റ്,,Pending native review,
template.clinical.overview,Patient 360,نظرة شاملة للمريض,रोगी का समग्र विवरण,രോഗിയുടെ സമഗ്ര വിവരങ്ങൾ,,Pending native review,
template.clinical.passport,Passport,جواز السفر,पासपोर्ट,പാസ്പോർട്ട്,,Pending native review,
template.clinical.patient,Patient,المريض,रोगी,രോഗി,,Pending native review,
template.clinical.patientPortal,Patient Portal,بوابة المريض,रोगी पोर्टल,രോഗി പോർട്ടൽ,,Pending native review,
template.clinical.payer,Payer,جهة الدفع,भुगतानकर्ता,പണം നൽകുന്നയാൾ,,Pending native review,
template.clinical.payerType,Payer type,نوع جهة الدفع,भुगतानकर्ता का प्रकार,പണം നൽകുന്നയാളുടെ തരം,,Pending native review,
template.clinical.pending,Pending,قيد الانتظار,लंबित,തീർപ്പാക്കാത്തത്,,Pending native review,
template.clinical.personal,Personal,المعلومات الشخصية,व्यक्तिगत जानकारी,വ്യക്തിഗത വിവരങ്ങൾ,,Pending native review,
template.clinical.pharmacy,Pharmacy,الصيدلية,फ़ार्मेसी,ഫാർമസി,,Pending native review,
template.clinical.phone,Phone,الهاتف,फ़ोन,ഫോൺ,,Pending native review,
template.clinical.photography,Photography / Imaging,التصوير,फ़ोटोग्राफ़ी / इमेजिंग,ഫോട്ടോഗ്രാഫി / ഇമേജിംഗ്,,Pending native review,
template.clinical.plan,Plan,الخطة,योजना,പദ്ധതി,,Pending native review,
template.clinical.policyNumber,Policy number,رقم الوثيقة,पॉलिसी संख्या,പോളിസി നമ്പർ,,Pending native review,
template.clinical.portal,Portal,البوابة,पोर्टल,പോർട്ടൽ,,Pending native review,
template.clinical.postalCode,Postal code,الرمز البريدي,डाक कोड,തപാൽ കോഡ്,,Pending native review,
template.clinical.preferredContact,Preferred contact,طريقة التواصل المفضلة,पसंदीदा संपर्क माध्यम,ഇഷ്ടപ്പെട്ട ബന്ധപ്പെടൽ മാർഗം,,Pending native review,
template.clinical.preferredLanguage,Preferred language,اللغة المفضلة,पसंदीदा भाषा,ഇഷ്ട ഭാഷ,,Pending native review,
template.clinical.preferredName,Preferred name,الاسم المفضل,पसंदीदा नाम,വിളിക്കേണ്ട പേര്,,Pending native review,
template.clinical.primary,Primary,أساسي,प्राथमिक,പ്രാഥമികം,,Pending native review,
template.clinical.privacyAccepted,Privacy consent,موافقة الخصوصية,गोपनीयता सहमति,സ്വകാര്യതയ്ക്കുള്ള സമ്മതം,,Pending native review,
template.clinical.procedure,Procedure,الإجراء,प्रक्रिया,നടപടി,,Pending native review,
template.clinical.provider,Provider,مقدم الرعاية,सेवा प्रदाता,പരിചരണ ദാതാവ്,,Pending native review,
template.clinical.purpose,Purpose,الغرض,उद्देश्य,ഉദ്ദേശ്യം,,Pending native review,
template.clinical.query,Patient Query,البحث عن المرضى,रोगी खोज,രോഗിയെ തിരയുക,,Pending native review,
template.clinical.queryHelp,"Find a patient, review their details, or continue to registration, booking and Patient 360.",ابحث عن مريض وراجع تفاصيله أو انتقل إلى التسجيل والحجز والنظرة الشاملة.,"रोगी खोजें, विवरण देखें या पंजीकरण, बुकिंग और समग्र विवरण पर जाएँ।","രോഗിയെ കണ്ടെത്തുക, വിവരങ്ങൾ പരിശോധിക്കുക, അല്ലെങ്കിൽ രജിസ്ട്രേഷൻ, ബുക്കിംഗ്, സമഗ്ര കാഴ്ചയിലേക്ക് തുടരുക.",,Pending native review,
template.clinical.quickActions,Quick actions,إجراءات سريعة,त्वरित कार्रवाइयाँ,ദ്രുത നടപടികൾ,,Pending native review,
template.clinical.quickView,Quick view,عرض سريع,त्वरित दृश्य,ദ്രുത കാഴ്ച,,Pending native review,
template.clinical.race,Race,العرق,वंश समूह,വംശം,,Pending native review,
template.clinical.read,Read,قراءة,पढ़ें,വായിക്കുക,,Pending native review,
template.clinical.readSummary,Read summary,قراءة الملخص,सारांश पढ़ें,സംഗ്രഹം വായിക്കുക,,Pending native review,
template.clinical.reading,Reading,وضع القراءة,पढ़ने का मोड,വായനാ മോഡ്,,Pending native review,
template.clinical.recent,Recent encounters,الأحدث,हाल के,സമീപകാലം,,Pending native review,
template.clinical.record,Patient Record,سجل المريض,रोगी रिकॉर्ड,രോഗിയുടെ രേഖ,,Pending native review,
template.clinical.recordSubAddress,Residential addresses and emergency contact,العناوين السكنية وجهة اتصال الطوارئ,आवासीय पते और आपातकालीन संपर्क,താമസ വിലാസങ്ങളും അടിയന്തര ബന്ധപ്പെടൽ വിവരങ്ങളും,,Pending native review,
template.clinical.recordSubClinical,"Blood group, deceased status, disability and vulnerability flags",فصيلة الدم وحالة الوفاة والإعاقة والحاجة إلى حماية إضافية,"रक्त समूह, मृत्यु, विकलांगता और अतिरिक्त सुरक्षा के संकेत","രക്തഗ്രൂപ്പ്, മരണ നില, വൈകല്യം, അധിക സംരക്ഷണ സൂചനകൾ",,Pending native review,
template.clinical.recordSubConsent,"Recorded consents, scope and provenance",الموافقات المسجلة ونطاقها ومصدرها,"दर्ज सहमति, दायरा और स्रोत","രേഖപ്പെടുത്തിയ സമ്മതങ്ങൾ, പരിധി, ഉറവിടം",,Pending native review,
template.clinical.recordSubContact,How and where the patient prefers to be reached,وسيلة الاتصال بالمريض ومكانها المفضلان,रोगी कैसे और कहाँ संपर्क पसंद करता है,"രോഗി എങ്ങനെ, എവിടെ ബന്ധപ്പെടാൻ ആഗ്രഹിക്കുന്നു",,Pending native review,
template.clinical.recordSubIdentity,"National identity, passports and other identity documents",الهوية الوطنية وجوازات السفر ووثائق الهوية الأخرى,"राष्ट्रीय पहचान, पासपोर्ट और अन्य पहचान दस्तावेज़","ദേശീയ തിരിച്ചറിയൽ, പാസ്‌പോർട്ട്, മറ്റു തിരിച്ചറിയൽ രേഖകൾ",,Pending native review,
template.clinical.recordSubInsurance,Coverage and payer information,معلومات التغطية وجهة الدفع,कवरेज और भुगतानकर्ता की जानकारी,പരിരക്ഷയും പണം നൽകുന്നയാളുടെ വിവരങ്ങളും,,Pending native review,
template.clinical.recordSubMrn,Unique lifetime identifier for this patient,معرّف فريد ودائم لهذا المريض,इस रोगी की आजीवन विशिष्ट पहचान,ഈ രോഗിക്കുള്ള ആജീവനാന്ത ഏകീകൃത തിരിച്ചറിയൽ,,Pending native review,
template.clinical.recordSubPersonal,Name and core demographic information,الاسم والبيانات الديموغرافية الأساسية,नाम और मूल जनसांख्यिकीय जानकारी,പേരും അടിസ്ഥാന ജനസംഖ്യാശാസ്ത്ര വിവരങ്ങളും,,Pending native review,
template.clinical.recordSubRegistration,Captured automatically by the system,يسجلها النظام تلقائيًا,सिस्टम द्वारा अपने आप दर्ज किया गया,സിസ്റ്റം സ്വയം രേഖപ്പെടുത്തുന്നു,,Pending native review,
template.clinical.recordTitleAddress,Address Details,بيانات العنوان,पते का विवरण,വിലാസ വിവരങ്ങൾ,,Pending native review,
template.clinical.recordTitleClinical,Clinical Demographic Basics,البيانات السريرية الأساسية,मूल नैदानिक विवरण,അടിസ്ഥാന ക്ലിനിക്കൽ വിവരങ്ങൾ,,Pending native review,
template.clinical.recordTitleConsent,Consent & Privacy,الموافقة والخصوصية,सहमति और गोपनीयता,സമ്മതവും സ്വകാര്യതയും,,Pending native review,
template.clinical.recordTitleContact,Contact Details,بيانات الاتصال,संपर्क विवरण,ബന്ധപ്പെടാനുള്ള വിവരങ്ങൾ,,Pending native review,
template.clinical.recordTitleIdentity,Identity & Legal Documents,وثائق الهوية والوثائق القانونية,पहचान और कानूनी दस्तावेज़,"തിരിച്ചറിയൽ, നിയമ രേഖകൾ",,Pending native review,
template.clinical.recordTitleInsurance,Insurance,التأمين,बीमा,ഇൻഷുറൻസ്,,Pending native review,
template.clinical.recordTitleMrn,Medical Record Number,رقم السجل الطبي,चिकित्सा रिकॉर्ड संख्या,മെഡിക്കൽ റെക്കോർഡ് നമ്പർ,,Pending native review,
template.clinical.recordTitlePersonal,Basic Personal Details,البيانات الشخصية الأساسية,मूल व्यक्तिगत विवरण,അടിസ്ഥാന വ്യക്തിഗത വിവരങ്ങൾ,,Pending native review,
template.clinical.recordTitleRegistration,Registration & Status,التسجيل والحالة,पंजीकरण और स्थिति,രജിസ്ട്രേഷനും നിലയും,,Pending native review,
template.clinical.recorded,Recorded,مسجل,दर्ज किया गया,രേഖപ്പെടുത്തി,,Pending native review,
template.clinical.referral,Referral,الإحالة,रेफ़रल,റഫറൽ,,Pending native review,
template.clinical.referralDetails,Referral details,تفاصيل الإحالة,रेफ़रल विवरण,റഫറൽ വിവരങ്ങൾ,,Pending native review,
template.clinical.refresh,Refresh,تحديث,ताज़ा करें,പുതുക്കുക,,Pending native review,
template.clinical.refreshed,Refreshed at {time},تم التحديث في {time},{time} पर अपडेट किया गया,{time}-ന് പുതുക്കി,,Pending native review,
template.clinical.refusalReason,Refusal reason,سبب الرفض,अस्वीकृति का कारण,നിരസിക്കാനുള്ള കാരണം,,Pending native review,
template.clinical.registered,Registered,مسجل,पंजीकृत,രജിസ്റ്റർ ചെയ്തത്,,Pending native review,
template.clinical.registeredAt,Registration date,تاريخ التسجيل,पंजीकरण की तारीख,രജിസ്ട്രേഷൻ തീയതി,,Pending native review,
template.clinical.registration,Registration,التسجيل,पंजीकरण,രജിസ്ട്രേഷൻ,,Pending native review,
template.clinical.registrationAutomatic,"System-managed. Registration date, MRN and encounter details are captured automatically when the patient is registered and begins care.",يديرها النظام. تُسجل بيانات التسجيل ورقم السجل الطبي والزيارة تلقائيًا عند تسجيل المريض وبدء الرعاية.,"सिस्टम द्वारा प्रबंधित। रोगी का पंजीकरण और देखभाल शुरू होने पर पंजीकरण तिथि, MRN और मुलाकात विवरण अपने आप दर्ज होते हैं।","സിസ്റ്റം നിയന്ത്രിക്കുന്നു. രോഗിയെ രജിസ്റ്റർ ചെയ്ത് പരിചരണം ആരംഭിക്കുമ്പോൾ രജിസ്ട്രേഷൻ തീയതി, MRN, സന്ദർശന വിവരങ്ങൾ സ്വയം രേഖപ്പെടുത്തും.",,Pending native review,
template.clinical.registrationSource,Registration source,مصدر التسجيل,पंजीकरण का स्रोत,രജിസ്ട്രേഷന്റെ ഉറവിടം,,Pending native review,
template.clinical.related,Related,الأشخاص المرتبطون,संबंधित व्यक्ति,ബന്ധപ്പെട്ട വ്യക്തികൾ,,Pending native review,
template.clinical.relationship,Relationship,العلاقة,संबंध,ബന്ധം,,Pending native review,
template.clinical.religion,Religion,الديانة,धर्म,മതം,,Pending native review,
template.clinical.research,Research Participation,المشاركة في البحث,अनुसंधान में भागीदारी,ഗവേഷണ പങ്കാളിത്തം,,Pending native review,
template.clinical.resultCount,{count} patients found,تم العثور على {count} مرضى,{count} रोगी मिले,{count} രോഗികളെ കണ്ടെത്തി,,Pending native review,
template.clinical.results,Results,النتائج,परिणाम,ഫലങ്ങൾ,,Pending native review,
template.clinical.reviewHelp,Review all sections and related rows before confirming. The demo API saves the complete record atomically.,راجع جميع الأقسام والصفوف المرتبطة قبل التأكيد. تحفظ الواجهة التجريبية السجل كاملاً في عملية واحدة.,पुष्टि से पहले सभी अनुभाग और संबंधित पंक्तियाँ जाँचें। डेमो API पूरा रिकॉर्ड एक ही लेनदेन में सहेजती है।,സ്ഥിരീകരിക്കുന്നതിന് മുമ്പ് എല്ലാ വിഭാഗങ്ങളും ബന്ധപ്പെട്ട വരികളും പരിശോധിക്കുക. ഡെമോ API മുഴുവൻ രേഖയും ഒറ്റ ഇടപാടിൽ സംരക്ഷിക്കുന്നു.,,Pending native review,
template.clinical.reviewSave,Review and save,مراجعة وحفظ,समीक्षा और सहेजें,പരിശോധിച്ച് സംരക്ഷിക്കുക,,Pending native review,
template.clinical.revocationReason,Revocation reason,سبب سحب الموافقة,सहमति वापस लेने का कारण,സമ്മതം പിൻവലിച്ചതിന്റെ കാരണം,,Pending native review,
template.clinical.revoked,Revoked,مسحوب,वापस लिया गया,പിൻവലിച്ചു,,Pending native review,
template.clinical.revokedAt,Revoked at,تاريخ السحب,वापस लेने की तारीख,പിൻവലിച്ച തീയതി,,Pending native review,
template.clinical.revokedBy,Revoked by,ألغاه,रद्द करने वाला,പിൻവലിച്ചയാൾ,,Pending native review,
template.clinical.salutation,Salutation,اللقب,संबोधन,അഭിസംബോധന,,Pending native review,
template.clinical.sampleOnly,Fictional demonstration data only,بيانات عرض وهمية فقط,केवल काल्पनिक डेमो डेटा,സാങ്കൽപ്പിക ഡെമോ വിവരങ്ങൾ മാത്രം,,Pending native review,
template.clinical.saveChanges,Save changes,حفظ التغييرات,बदलाव सहेजें,മാറ്റങ്ങൾ സേവ് ചെയ്യുക,,Pending native review,
template.clinical.saveFailed,The patient save could not be confirmed. Retry to recover the result.,تعذر تأكيد حفظ المريض. أعد المحاولة لاستعادة النتيجة.,रोगी सहेजने की पुष्टि नहीं हुई। परिणाम पाने के लिए पुनः प्रयास करें।,രോഗിയുടെ രേഖ സംരക്ഷിച്ചതായി സ്ഥിരീകരിക്കാനായില്ല. ഫലം ലഭിക്കാൻ വീണ്ടും ശ്രമിക്കുക.,,Pending native review,
template.clinical.saveSearch,Save search,حفظ البحث,खोज सहेजें,തിരയൽ സംരക്ഷിക്കുക,,Pending native review,
template.clinical.saved,Patient record saved.,تم حفظ سجل المريض.,रोगी रिकॉर्ड सहेजा गया।,രോഗിയുടെ രേഖ സംരക്ഷിച്ചു.,,Pending native review,
template.clinical.savedSearches,Saved searches,عمليات البحث المحفوظة,सहेजी गई खोजें,സംരക്ഷിച്ച തിരയലുകൾ,,Pending native review,
template.clinical.scheduled,Scheduled,مجدول,निर्धारित,സമയക്രമം നിശ്ചയിച്ചു,,Pending native review,
template.clinical.scope,Scope,النطاق,दायरा,പരിധി,,Pending native review,
template.clinical.search,Search,بحث,खोजें,തിരയുക,,Pending native review,
template.clinical.searchName,Search name,اسم البحث,खोज का नाम,തിരയലിന്റെ പേര്,,Pending native review,
template.clinical.secondary,Secondary,ثانوي,द्वितीयक,ദ്വിതീയം,,Pending native review,
template.clinical.sectionHelp.address,Address and emergency contact,العنوان وجهة اتصال الطوارئ,पता और आपातकालीन संपर्क,വിലാസവും അടിയന്തര ബന്ധപ്പെടലും,,Pending native review,
template.clinical.sectionHelp.clinical,Blood group and clinical flags,فصيلة الدم والعلامات السريرية,रक्त समूह और नैदानिक संकेत,രക്തഗ്രൂപ്പും ക്ലിനിക്കൽ സൂചനകളും,,Pending native review,
template.clinical.sectionHelp.consent,Privacy and consent,الخصوصية والموافقة,गोपनीयता और सहमति,സ്വകാര്യതയും സമ്മതവും,,Pending native review,
template.clinical.sectionHelp.contact,Phone and email,الهاتف والبريد الإلكتروني,फ़ोन और ईमेल,ഫോണും ഇമെയിലും,,Pending native review,
template.clinical.sectionHelp.identity,Identity documents,وثائق الهوية,पहचान दस्तावेज़,തിരിച്ചറിയൽ രേഖകൾ,,Pending native review,
template.clinical.sectionHelp.insurance,Insurance coverage,التغطية التأمينية,बीमा कवरेज,ഇൻഷുറൻസ് പരിരക്ഷ,,Pending native review,
template.clinical.sectionHelp.mrn,Identifier,المعرّف,पहचान संख्या,തിരിച്ചറിയൽ നമ്പർ,,Pending native review,
template.clinical.sectionHelp.personal,Name and demographics,الاسم والبيانات الديموغرافية,नाम और जनसांख्यिकीय विवरण,പേരും വ്യക്തിവിവരങ്ങളും,,Pending native review,
template.clinical.sectionHelp.registration,Registration details,تفاصيل التسجيل,पंजीकरण विवरण,രജിസ്ട്രേഷൻ വിവരങ്ങൾ,,Pending native review,
template.clinical.sectionNumber,SEC {number},القسم {number},अनुभाग {number},വിഭാഗം {number},,Pending native review,
template.clinical.sections,Sections,الأقسام,अनुभाग,വിഭാഗങ്ങൾ,,Pending native review,
template.clinical.select,Select,اختيار,चुनें,തിരഞ്ഞെടുക്കുക,,Pending native review,
template.clinical.selectPatient,Select patient,اختيار مريض,रोगी चुनें,രോഗിയെ തിരഞ്ഞെടുക്കുക,,Pending native review,
template.clinical.self,Self,ذاتي,स्वयं,സ്വയം,,Pending native review,
template.clinical.single,Single,أعزب,अविवाहित,അവിവാഹിതർ,,Pending native review,
template.clinical.slotConflict,This provider already has an appointment at that time.,لدى مقدم الرعاية موعد آخر في هذا الوقت.,इस प्रदाता का उस समय पहले से अपॉइंटमेंट है।,ഈ പരിചരണ ദാതാവിന് ആ സമയത്ത് മറ്റൊരു അപ്പോയിന്റ്മെന്റ് ഉണ്ട്.,,Pending native review,
template.clinical.sort,Sort,ترتيب,क्रमबद्ध करें,ക്രമീകരിക്കുക,,Pending native review,
template.clinical.source,Source,المصدر,स्रोत,ഉറവിടം,,Pending native review,
template.clinical.specialNeeds,Special needs,احتياجات خاصة,विशेष आवश्यकताएँ,പ്രത്യേക ആവശ്യങ്ങൾ,,Pending native review,
