message_key,english,current_translation,reviewer,status,proposed_translation,notes
field.location.name.placeholder,Enter location master name,أدخل اسم سجل المواقع,,Pending,,
field.margin.name.placeholder,Enter margin analysis name,أدخل اسم تحليل الهامش,,Pending,,
field.medication-orders.name.placeholder,Enter medication orders name,أدخل اسم طلبات الأدوية,,Pending,,
field.message.name.placeholder,Enter messages name,أدخل اسم الرسائل,,Pending,,
field.preferences.name.placeholder,Enter my preferences name,أدخل اسم تفضيلاتي,,Pending,,
field.next-of-kin.name.placeholder,Enter next of kin name,أدخل اسم أقرب الأقارب,,Pending,,
field.notification.name.placeholder,Enter notifications name,أدخل اسم الإشعارات,,Pending,,
field.hr-numbering.name.placeholder,Enter numbering rules name,أدخل اسم قواعد الترقيم,,Pending,,
field.order.name.placeholder,Enter order worklist name,أدخل اسم قائمة عمل الطلبات,,Pending,,
field.page-catalog.name.placeholder,Enter page catalog name,أدخل اسم كتالوج الصفحات,,Pending,,
field.patient.name.placeholder,Enter patient master name,أدخل اسم سجل المرضى,,Pending,,
field.pay-group.name.placeholder,Enter pay group name,أدخل اسم مجموعة الرواتب,,Pending,,
field.payer.name.placeholder,Enter payer master name,أدخل اسم سجل جهات الدفع,,Pending,,
field.payroll-adjustment.name.placeholder,Enter payroll adjustment name,أدخل اسم تعديل الرواتب,,Pending,,
field.pay-calendar.name.placeholder,Enter payroll calendar name,أدخل اسم تقويم الرواتب,,Pending,,
field.payroll-dashboard.name.placeholder,Enter payroll command center name,أدخل اسم مركز إدارة الرواتب,,Pending,,
field.pay-register.name.placeholder,Enter payroll register name,أدخل اسم سجل الرواتب,,Pending,,
field.payroll-run.name.placeholder,Enter payroll run name,أدخل اسم تشغيل الرواتب,,Pending,,
field.payroll.name.placeholder,Enter payroll worklist name,أدخل اسم قائمة عمل الرواتب,,Pending,,
field.payslip.name.placeholder,Enter payslip distribution name,أدخل اسم توزيع قسائم الرواتب,,Pending,,
field.pharmacy-dashboard.name.placeholder,Enter pharmacy dashboard name,أدخل اسم لوحة الصيدلية,,Pending,,
field.hr-policy.name.placeholder,Enter policy designer name,أدخل اسم مصمم السياسات,,Pending,,
field.position.name.placeholder,Enter position master name,أدخل اسم سجل المناصب,,Pending,,
field.posting-rules.name.placeholder,Enter posting rules name,أدخل اسم قواعد الترحيل,,Pending,,
field.preauthorization.name.placeholder,Enter pre-authorisation name,أدخل اسم الموافقة المسبقة,,Pending,,
field.prescription.name.placeholder,Enter prescription queue name,أدخل اسم قائمة انتظار الوصفات,,Pending,,
field.price-list.name.placeholder,Enter price list name,أدخل اسم قائمة الأسعار,,Pending,,
field.procurement.name.placeholder,Enter procurement worklist name,أدخل اسم قائمة عمل المشتريات,,Pending,,
field.product.name.placeholder,Enter product master name,أدخل اسم سجل المنتجات,,Pending,,
field.profit-loss.name.placeholder,Enter profit & loss name,أدخل اسم الأرباح والخسائر,,Pending,,
field.purchase-order.name.placeholder,Enter purchase order name,أدخل اسم أمر شراء,,Pending,,
field.purchase-requisition.name.placeholder,Enter purchase requisition name,أدخل اسم طلب شراء,,Pending,,
field.quotation.name.placeholder,Enter quotation name,أدخل اسم عرض سعر,,Pending,,
field.receipt.name.placeholder,Enter receipt entry name,أدخل اسم إدخال إيصال,,Pending,,
field.receivables.name.placeholder,Enter receivables worklist name,أدخل اسم قائمة عمل الذمم المدينة,,Pending,,
field.receiving.name.placeholder,Enter receiving worklist name,أدخل اسم قائمة عمل الاستلام,,Pending,,
field.controlled-reconciliation.name.placeholder,Enter reconciliation name,أدخل اسم التسوية,,Pending,,
field.reorder-rules.name.placeholder,Enter reorder rules name,أدخل اسم قواعد إعادة الطلب,,Pending,,
field.reorder.name.placeholder,Enter reorder worklist name,أدخل اسم قائمة عمل إعادة الطلب,,Pending,,
field.pharmacy-requisition.name.placeholder,Enter requisitions name,أدخل اسم طلبات الشراء,,Pending,,
field.revenue.name.placeholder,Enter revenue analysis name,أدخل اسم تحليل الإيرادات,,Pending,,
field.role.name.placeholder,Enter role & permission name,أدخل اسم الأدوار والصلاحيات,,Pending,,
field.sales-channel.name.placeholder,Enter sales channel name,أدخل اسم قناة المبيعات,,Pending,,
field.sales-dashboard.name.placeholder,Enter sales command center name,أدخل اسم مركز إدارة المبيعات,,Pending,,
field.sales-order.name.placeholder,Enter sales order name,أدخل اسم أمر بيع,,Pending,,
field.pipeline.name.placeholder,Enter sales pipeline name,أدخل اسم مسار فرص المبيعات,,Pending,,
field.sales-return.name.placeholder,Enter sales return name,أدخل اسم مرتجع مبيعات,,Pending,,
field.saved-views.name.placeholder,Enter saved views name,أدخل اسم طرق العرض المحفوظة,,Pending,,
field.employee-separation.name.placeholder,Enter separation name,أدخل اسم إنهاء الخدمة,,Pending,,
field.service-catalog.name.placeholder,Enter service catalogue name,أدخل اسم دليل الخدمات,,Pending,,
field.settlement.name.placeholder,Enter settlement review name,أدخل اسم مراجعة التسوية,,Pending,,
field.shift-roster.name.placeholder,Enter shift roster name,أدخل اسم جدول المناوبات,,Pending,,
field.shortcut-manager.name.placeholder,Enter shortcut manager name,أدخل اسم مدير الاختصارات,,Pending,,
field.spreadsheet-studio.name.placeholder,Enter spreadsheet studio name,أدخل اسم استوديو جداول البيانات,,Pending,,
field.statutory.name.placeholder,Enter statutory rule name,أدخل اسم القاعدة النظامية,,Pending,,
field.stock-adjustment.name.placeholder,Enter stock adjustment name,أدخل اسم تعديل المخزون,,Pending,,
field.stock-aging.name.placeholder,Enter stock aging name,أدخل اسم أعمار المخزون,,Pending,,
field.stock-transfer.name.placeholder,Enter stock transfer name,أدخل اسم تحويل المخزون,,Pending,,
field.stock-turn.name.placeholder,Enter stock turn name,أدخل اسم دوران المخزون,,Pending,,
field.supplier-contract.name.placeholder,Enter supplier contract name,أدخل اسم عقد المورد,,Pending,,
field.supplier-fin.name.placeholder,Enter supplier master name,أدخل اسم سجل الموردين,,Pending,,
field.supplier-performance.name.placeholder,Enter supplier performance name,أدخل اسم أداء الموردين,,Pending,,
field.supply-dashboard.name.placeholder,Enter supply chain command center name,أدخل اسم مركز إدارة سلسلة الإمداد,,Pending,,
field.sales-targets.name.placeholder,Enter target setup name,أدخل اسم إعداد الأهداف,,Pending,,
field.tax-return.name.placeholder,Enter tax return name,أدخل اسم الإقرار الضريبي,,Pending,,
field.tax.name.placeholder,Enter taxation master name,أدخل اسم سجل الضرائب,,Pending,,
field.territory.name.placeholder,Enter territory master name,أدخل اسم سجل المناطق,,Pending,,
Enter the invoice and due dates.,Enter the invoice and due dates.,أدخل تاريخ الفاتورة وتاريخ الاستحقاق.,,Pending,,
field.theme-studio.name.placeholder,Enter theme studio name,أدخل اسم استوديو السمات,,Pending,,
field.employee-transfer.name.placeholder,Enter transfer & promotion name,أدخل اسم النقل والترقية,,Pending,,
field.uom.name.placeholder,Enter unit of measure name,أدخل اسم وحدة القياس,,Pending,,
field.valuation-method.name.placeholder,Enter valuation method name,أدخل اسم طريقة التقييم,,Pending,,
field.vitals.name.placeholder,Enter vitals & observations name,أدخل اسم العلامات الحيوية والملاحظات,,Pending,,
field.warehouse.name.placeholder,Enter warehouse master name,أدخل اسم سجل المستودعات,,Pending,,
field.workforce.name.placeholder,Enter workforce analytics name,أدخل اسم تحليلات القوى العاملة,,Pending,,
ui.enter.your.credentials.to.continue.ff9eee04,Enter your credentials to continue.,أدخل بيانات الدخول للمتابعة.,,Pending,,
Enter {field},Enter {field},أدخل {field},,Pending,,
Enter {name} name,Enter {name} name,أدخل اسم {name},,Pending,,
field.customer.segment.option.Enterprise,Enterprise,مؤسسة كبرى,,Pending,,
field.user.roles.option.enterprise-admin,Enterprise Administrator,مسؤول المؤسسة,,Pending,,
Enterprise segment,Enterprise segment,قطاع المؤسسات,,Pending,,
ui.error.54a0e8c1,Error,خطأ,,Pending,,
ui.error.rows.2e0bd452,Error rows,الصفوف ذات الأخطاء,,Pending,,
ui.errors.cb702378,Errors,الأخطاء,,Pending,,
ui.esc.to.clear.3bfa5f77,Esc to clear,Esc للمسح,,Pending,,
"Escalation follows policy, never a score alone.","Escalation follows policy, never a score alone.",التصعيد يتبع السياسة وليس الدرجة وحدها.,,Pending,,
ui.every.demo.password.is.the.same.as.its.username.selectin.d1681c9f,Every demo password is the same as its username. Selecting an account fills both fields.,كلمة مرور كل حساب تجريبي تطابق اسمه. اختيار الحساب يملأ الحقلين.,,Pending,,
Every item goes somewhere,Every item goes somewhere,لكل عنصر وجهة,,Pending,,
Every preference is back to its default.,Every preference is back to its default.,أُعيدت كل التفضيلات إلى قيمها الافتراضية.,,Pending,,
Every section says why,Every section says why,كل قسم يوضح السبب,,Pending,,
ui.everything.has.been.read.66567841,Everything has been read.,تمت قراءة كل شيء.,,Pending,,
page.notifications.subtitle,"Everything the system has raised for you, and the record behind each one.",كل ما أرسله النظام إليك والسجل المرتبط بكل إشعار.,,Pending,,
section.consultation.examination.title,Examination,الفحص,,Pending,,
"Exceeded by AED 12,400 on this order.","Exceeded by AED 12,400 on this order.","تم التجاوز بمقدار AED 12,400 لهذا الطلب.",,Pending,,
Excel workbook,Excel workbook,مصنف Excel,,Pending,,
Excel workbook (.xlsx),Excel workbook (.xlsx),مصنف Excel (.xlsx),,Pending,,
ui.exception.b4fe3d52,Exception,استثناء,,Pending,,
menu.payroll.exception-worklist.label,Exception Worklist,قائمة عمل الاستثناءات,,Pending,,
Exception rate,Exception rate,معدل الاستثناءات,,Pending,,
Exceptions,Exceptions,الاستثناءات,,Pending,,
ui.exchange.rate.c42b0984,Exchange rate,سعر الصرف,,Pending,,
Exempt,Exempt,معفى,,Pending,,
Exemption certificate,Exemption certificate,شهادة الإعفاء,,Pending,,
Exercise tolerance,Exercise tolerance,تحمل التمارين,,Pending,,
Exertional component,Exertional component,الارتباط بالمجهود,,Pending,,
ui.expand.chart.17fa3f93,Expand chart,توسيع الرسم البياني,,Pending,,
ui.expands.on.389a54e9,Expands on,يتوسع عند,,Pending,,
api.message.63bb02664ed1,Expected record values.,قيم السجل مطلوبة.,,Pending,,
api.message.4951e1da4de5,"Expected { pageId: string, layout: object }.","المطلوب { pageId: string, layout: object }.",,Pending,,
api.message.56a94e3d0417,Expected { preferences: object }.,المطلوب { preferences: object }.,,Pending,,
menu.finance.expense-entry.label,Expense Entry,إدخال المصروفات,,Pending,,
Expiring in 90 days,Expiring in 90 days,تنتهي خلال 90 يوماً,,Pending,,
Expiring within 90 days,Expiring within 90 days,تنتهي خلال 90 يوماً,,Pending,,
menu.pharmacy.expiry-risk-report.label,Expiry Risk,مخاطر انتهاء الصلاحية,,Pending,,
ui.explain.3b61e4e9,Explain,اشرح,,Pending,,
ui.explain.figures.8a325f0d,Explain figures,شرح الأرقام,,Pending,,
Explain these figures,Explain these figures,شرح هذه الأرقام,,Pending,,
Explain this record,Explain this record,شرح هذا السجل,,Pending,,
Explains the fields on the open record and what its current status means.,Explains the fields on the open record and what its current status means.,يشرح حقول السجل المفتوح ومعنى حالته الحالية.,,Pending,,
ui.export.36648955,Export,تصدير,,Pending,,
field.customer.jurisdiction.option.export,Export / zero-rated,تصدير / نسبة صفرية,,Pending,,
Export evidence,Export evidence,تصدير الأدلة,,Pending,,
ui.export.format.df339cb8,Export format,تنسيق التصدير,,Pending,,
Export ready,Export ready,التصدير جاهز,,Pending,,
Export visible records ({format}),Export visible records ({format}),تصدير السجلات الظاهرة ({format}),,Pending,,
ui.export.workbook.f9fce806,Export workbook,تصدير المصنف,,Pending,,
Export • Zero rated,Export • Zero rated,تصدير • نسبة صفرية,,Pending,,
column.supplier-fin-master.exposure.label,Exposure,التعرض المالي,,Pending,,
"Exposure, adherence, response, side effects, interactions.","Exposure, adherence, response, side effects, interactions.",التعرض والالتزام والاستجابة والآثار الجانبية والتداخلات.,,Pending,,
Extensive — two of three categories met,Extensive — two of three categories met,واسع — استيفاء فئتين من ثلاث,,Pending,,
field.hr-dashboard.category.option.External,External,خارجي,,Pending,,
ui.external.billing.reference.e59adc54,External billing reference,مرجع فوترة خارجي,,Pending,,
External examination if indicated,External examination if indicated,فحص خارجي عند اللزوم,,Pending,,
field.hr-dashboard.externalRef.label,External reference,مرجع خارجي,,Pending,,
Eye contact,Eye contact,التواصل البصري,,Pending,,
ui.face.to.face.and.non.face.to.face.time.by.the.reporting.6df1aa8e,Face-to-face and non-face-to-face time by the reporting practitioner on that date. Do not infer it from how long the record was open.,وقت الممارس المبلّغ في ذلك التاريخ، المباشر وغير المباشر. لا تستنتجه من مدة فتح السجل.,,Pending,,
Falls risk,Falls risk,خطر السقوط,,Pending,,
"Falls, cognition, function, polypharmacy, caregiver, goals.","Falls, cognition, function, polypharmacy, caregiver, goals.",السقوط والإدراك والوظيفة وتعدد الأدوية ومقدم الرعاية والأهداف.,,Pending,,
Feb,Feb,فبراير,,Pending,,
Feedback,Feedback,التغذية الراجعة,,Pending,,
menu.library.feedback-components.label,Feedback & Overlays,الملاحظات والنوافذ العائمة,,Pending,,
Feeding and intake,Feeding and intake,التغذية والتناول,,Pending,,
Fetal heart rate,Fetal heart rate,معدل قلب الجنين,,Pending,,
Fetal movement,Fetal movement,حركة الجنين,,Pending,,
Fever pattern,Fever pattern,نمط الحمى,,Pending,,
"Fever, cough or acute presentation","Fever, cough or acute presentation",حمى أو سعال أو أعراض حادة,,Pending,,
ui.field.f45fc1df,Field,الحقل,,Pending,,
Fields,Fields,الحقول,,Pending,,
Fields and sections are defined once and rendered by every form presentation.,Fields and sections are defined once and rendered by every form presentation.,تُعرّف الحقول والأقسام مرة واحدة وتعرضها كل أنماط النماذج.,,Pending,,
ui.fill.033955d4,Fill,تعبئة,,Pending,,
Filter,Filter,تصفية,,Pending,,
ui.filter.options.62b72239,Filter options,خيارات التصفية,,Pending,,
ui.filtered.0ba993b3,Filtered,تمت التصفية,,Pending,,
ui.filters.546ebb8e,Filters,عوامل التصفية,,Pending,,
Filters excluded from links: {count}. Save a view to share this.,Filters excluded from links: {count}. Save a view to share this.,فلاتر مستبعدة من الروابط: {count}. احفظ عرضاً لمشاركتها.,,Pending,,
Filters reset,Filters reset,تمت إعادة تعيين الفلاتر,,Pending,,
ui.filters.columns.sort.and.page.size.are.stored.with.your.643172f0,"Filters, columns, sort and page size are stored with your account.",تُحفظ الفلاتر والأعمدة والترتيب وحجم الصفحة في حسابك.,,Pending,,
"Filters, views, columns, sorting, pagination and preview","Filters, views, columns, sorting, pagination and preview",الفلاتر والعروض والأعمدة والترتيب والصفحات والمعاينة,,Pending,,
menu.payroll.final-settlement.label,Final Settlement,التسوية النهائية,,Pending,,
Final review,Final review,المراجعة النهائية,,Pending,,
Final segments: {count},Final segments: {count},المقاطع النهائية: {count},,Pending,,
Finance,Finance,المالية,,Pending,,
Finance & Accounting,Finance & Accounting,المالية والمحاسبة,,Pending,,
Finance Command Center,Finance Command Center,مركز إدارة المالية,,Pending,,
Finance Dashboard,Finance Dashboard,لوحة المالية,,Pending,,
Finance Leadership,Finance Leadership,القيادة المالية,,Pending,,
field.user.roles.option.finance-manager,Finance Manager,المدير المالي,,Pending,,
Finance Queues,Finance Queues,قوائم انتظار المالية,,Pending,,
Finance Setup,Finance Setup,إعداد المالية,,Pending,,
Finance review,Finance review,المراجعة المالية,,Pending,,
Financial Statements,Financial Statements,القوائم المالية,,Pending,,
ui.find.approvals.02c11f97,Find approvals,البحث عن الاعتمادات,,Pending,,
Find documentation gaps,Find documentation gaps,اكتشاف نواقص التوثيق,,Pending,,
Find records,Find records,البحث عن سجلات,,Pending,,
field.consultation.examinationNotes.label,Findings,النتائج,,Pending,,
ui.fingerprint.ba7af0b7,Fingerprint,البصمة,,Pending,,
api.message.9a2e0adf7846,Finish or retry earlier imports before creating another.,أكمل عمليات الاستيراد السابقة أو أعد محاولتها قبل إنشاء عملية أخرى.,,Pending,,
Finished goods,Finished goods,السلع النهائية,,Pending,,
ui.fires.a.sample.using.the.settings.above.33ab8430,Fires a sample using the settings above.,يعرض مثالاً بالإعدادات أعلاه.,,Pending,,
ui.first.set.3757ac29,First set,أول إعداد,,Pending,,
menu.finance.fiscal-period.label,Fiscal Period,الفترة المالية,,Pending,,
ui.fix.sidebar.open.5cfa2a6b,Fix sidebar open,تثبيت الشريط الجانبي مفتوحاً,,Pending,,
ui.floating.windows.4f5a6c7b,Floating windows,نوافذ عائمة,,Pending,,
Flow,Flow,التدفق,,Pending,,
column.consultation-worklist.followUp.label,Follow-up,المتابعة,,Pending,,
ui.follow.up.and.safety.net.plan.verified.2e5847f1,Follow-up and safety-net plan verified,تم التحقق من خطة المتابعة والسلامة,,Pending,,
field.consultation.followUp.label,Follow-up date,تاريخ المتابعة,,Pending,,
field.consultation.outcome.option.Follow-up%20in%204%20weeks,Follow-up in 4 weeks,متابعة بعد 4 أسابيع,,Pending,,
Follow-up ownership,Follow-up ownership,مسؤولية المتابعة,,Pending,,
ui.font.family.119ef3fa,Font family,عائلة الخط,,Pending,,
Font size,Font size,حجم الخط,,Pending,,
ui.fonts.and.sizes.for.the.shell.forms.and.result.lists.5079efb6,"Fonts and sizes for the shell, forms and result lists.",الخطوط والأحجام للواجهة والنماذج وقوائم النتائج.,,Pending,,
For this browser only,For this browser only,لهذا المتصفح فقط,,Pending,,
Forecast confidence,Forecast confidence,الثقة بالتوقعات,,Pending,,
column.drug-master.form.label,Form,نموذج,,Pending,,
menu.library.form-controls.label,Form Controls,عناصر تحكم النماذج,,Pending,,
menu.library.form-patterns.label,Form Patterns,أنماط النماذج,,Pending,,
Form and process,Form and process,الشكل والعملية,,Pending,,
Form controls,Form controls,ضوابط النماذج,,Pending,,
ui.form.field.size.b4395a90,Form field size,حجم حقول النموذج,,Pending,,
ui.form.mode.657dd0c2,Form mode:,وضع النموذج:,,Pending,,
Form schemas,Form schemas,مخططات النماذج,,Pending,,
FormRenderer usage increased,FormRenderer usage increased,زاد استخدام FormRenderer,,Pending,,
menu.payroll.pay-formula.label,Formula Designer,مصمم الصيغ,,Pending,,
ui.formula.bar.8b12e6c7,Formula bar,شريط الصيغة,,Pending,,
column.drug-master.formulary.label,Formulary,دليل الأدوية,,Pending,,
menu.pharmacy.rx-formulary.label,Formulary & Stock,دليل الأدوية والمخزون,,Pending,,
menu.pharmacy.formulary-setup.label,Formulary Setup,إعداد دليل الأدوية,,Pending,,
Formulary compliance,Formulary compliance,الالتزام بدليل الأدوية,,Pending,,
ui.four.characters.enough.to.tell.two.keys.apart.not.enough.4eee3d19,"Four characters. Enough to tell two keys apart, not enough to be one.",أربعة أحرف تكفي لتمييز مفتاحين ولا تكفي لاستخدامها كمفتاح.,,Pending,,
"Four layers, one screen","Four layers, one screen",أربع طبقات وشاشة واحدة,,Pending,,
ui.frequency.16b6668d,Frequency,التكرار,,Pending,,
From date,From date,من تاريخ,,Pending,,
menu.sales.fulfillment-worklist.label,Fulfillment Worklist,قائمة عمل تنفيذ الطلبات,,Pending,,
Fulfillment exceptions,Fulfillment exceptions,استثناءات التنفيذ,,Pending,,
Function,Function,الوظيفة,,Pending,,
"Function, frailty and caregiver","Function, frailty and caregiver",الوظيفة والضعف ومقدم الرعاية,,Pending,,
Functional,Functional,وظيفي,,Pending,,
Functional limitation,Functional limitation,القيود الوظيفية,,Pending,,
Fundal height,Fundal height,ارتفاع قاع الرحم,,Pending,,
Future-token ready,Future-token ready,جاهز لرموز التصميم المستقبلية,,Pending,,
GBP — Pound sterling,GBP — Pound sterling,GBP — الجنيه الإسترليني,,Pending,,
column.patient-master.gender.label,Gender,الجنس,,Pending,,
General,General,عام,,Pending,,
General Ledger,General Ledger,دفتر الأستاذ العام,,Pending,,
field.consultation.specialty.option.General%20Medicine,General Medicine,الطب العام,,Pending,,
General and abdominal,General and abdominal,عام وبطني,,Pending,,
section.hr-dashboard.general.title,General information,معلومات عامة,,Pending,,
General status,General status,الحالة العامة,,Pending,,
ui.generated.17.42.gst.f43f2032,Generated 17:42 GST,أُنشئ 17:42 بتوقيت الخليج,,Pending,,
Georgia (serif),Georgia (serif),Georgia (بزوائد),,Pending,,
Gestational age,Gestational age,عمر الحمل,,Pending,,
"Gestational status, medication and imaging safety.","Gestational status, medication and imaging safety.",حالة الحمل وسلامة الدواء والتصوير.,,Pending,,
Global and page-specific actions are discoverable and focus accessible.,Global and page-specific actions are discoverable and focus accessible.,الإجراءات العامة والخاصة بالصفحة قابلة للاكتشاف والوصول بالتركيز.,,Pending,,
Go to the module dashboard,Go to the module dashboard,الذهاب للوحة الوحدة,,Pending,,
Goes to,Goes to,يُرسل إلى,,Pending,,
ui.goes.to.69415870,Goes to ,يُرسل إلى ,,Pending,,
menu.supply.goods-receipt.label,Goods Receipt,استلام البضائع,,Pending,,
Goods receipt posted,Goods receipt posted,تم ترحيل استلام البضائع,,Pending,,
Government,Government,حكومي,,Pending,,
menu.hr.grade-master.label,Grade & Band,الدرجات والفئات,,Pending,,
ui.grand.total.d88867c4,Grand total,الإجمالي الكلي,,Pending,,
Grid,Grid,شبكة,,Pending,,
Grooming,Grooming,العناية بالمظهر,,Pending,,
Gross margin,Gross margin,الهامش الإجمالي,,Pending,,
Gross subtotal,Gross subtotal,المجموع الإجمالي الفرعي,,Pending,,
Growth,Growth,النمو,,Pending,,
Growth centile,Growth centile,مئين النمو,,Pending,,
Growth trajectory,Growth trajectory,مسار النمو,,Pending,,
"Guardian source, growth, development, age-appropriate ranges.","Guardian source, growth, development, age-appropriate ranges.",معلومات الوصي والنمو والتطور والنطاقات المناسبة للعمر.,,Pending,,
"Guardian source, weight-based safety, development, consent.","Guardian source, weight-based safety, development, consent.",معلومات الوصي والسلامة حسب الوزن والتطور والموافقة.,,Pending,,
"Guardian, growth and safeguarding","Guardian, growth and safeguarding",الوصي والنمو والحماية,,Pending,,
Guided tour ·,Guided tour ·,جولة إرشادية ·,,Pending,,
ui.guided.tour.40eb5b9e,Guided tour · ,جولة إرشادية · ,,Pending,,
ui.guided.tours.and.shortcuts.bottom.corner.86c65f92,"Guided tours and shortcuts, bottom corner",جولات إرشادية واختصارات في الزاوية السفلية,,Pending,,
Gynaecological,Gynaecological,أمراض النساء,,Pending,,
module.healthcare.shortLabel,HC,الرعاية الصحية,,Pending,,
module.hr.shortLabel,HR,الموارد البشرية,,Pending,,
field.user.roles.option.hr-business-partner,HR Business Partner,شريك أعمال الموارد البشرية,,Pending,,
page.hr-dashboard.title,HR Command Center,مركز إدارة الموارد البشرية,,Pending,,
menu.hr.hr-dashboard.label,HR Dashboard,لوحة الموارد البشرية,,Pending,,
menu.hr.hr-settings.label,HR Setup,إعداد الموارد البشرية,,Pending,,
field.user.owner.option.hr-shared,HR Shared Services,خدمات الموارد البشرية المشتركة,,Pending,,
Head circumference,Head circumference,محيط الرأس,,Pending,,
ui.header.ba5caa42,Header,الشريط العلوي,,Pending,,
Header entries,Header entries,إدخالات الرأس,,Pending,,
"Header records, lines, payments, tax and print composition","Header records, lines, payments, tax and print composition",سجلات الرأس والبنود والمدفوعات والضريبة وتكوين الطباعة,,Pending,,
ui.header.theme.994e2001,Header theme,سمة الشريط العلوي,,Pending,,
ui.header.tone.8dd3f09c,Header tone,درجة لون الشريط العلوي,,Pending,,
"Header, module navigation, sidebar, tabs and footer","Header, module navigation, sidebar, tabs and footer",الرأس وتنقل الوحدات والشريط الجانبي والتبويبات والتذييل,,Pending,,
ui.header.sidebar.cards.and.everything.not.listed.below.03fd4fdb,"Header, sidebar, cards and everything not listed below.",الشريط العلوي والجانبي والبطاقات وكل ما لم يُدرج أدناه.,,Pending,,
Health,Health,الحالة,,Pending,,
module.healthcare.label,Healthcare,الرعاية الصحية,,Pending,,
menu.healthcare.healthcare-dashboard.label,Healthcare Dashboard,لوحة الرعاية الصحية,,Pending,,
"Heart failure, hypertension or arrhythmia review","Heart failure, hypertension or arrhythmia review",مراجعة فشل القلب أو ارتفاع الضغط أو اضطراب النظم,,Pending,,
Heart sounds,Heart sounds,أصوات القلب,,Pending,,
Heart-failure functional class,Heart-failure functional class,الفئة الوظيفية لفشل القلب,,Pending,,
Height or length centile,Height or length centile,مئين الطول,,Pending,,
ui.held.back.300ea402,Held back:,تم الحجب:,,Pending,,
ui.help.b79cac92,Help,مساعدة,,Pending,,
ui.help.b22e5e67,Help (?),المساعدة (?),,Pending,,
ui.help.assistant.button.ac1e5563,Help assistant button,زر مساعد المساعدة,,Pending,,
field.hr-dashboard.priority.option.High,High,مرتفع,,Pending,,
High — e.g. drug therapy requiring intensive monitoring for toxicity; decision regarding hospitalisation,High — e.g. drug therapy requiring intensive monitoring for toxicity; decision regarding hospitalisation,مرتفع — مثل علاج دوائي يتطلب مراقبة مكثفة للسمية؛ قرار الإدخال للمستشفى,,Pending,,
field.user.language.option.hi,Hindi,الهندية,,Pending,,
field.consultation.history.label,History of presenting complaint,تاريخ الشكوى الحالية,,Pending,,
"History, allergies and reconciliation","History, allergies and reconciliation",التاريخ والحساسية ومطابقة الأدوية,,Pending,,
ui.honoured.by.every.module.and.page.4bbba1b9,Honoured by every module and page.,تلتزم به كل الوحدات والصفحات.,,Pending,,
Hover,Hover,التمرير بالمؤشر,,Pending,,
ui.how.the.data.table.reads.at.twelve.columns.and.a.hundred.ff397919,How the data table reads at twelve columns and a hundred rows.,كيفية عرض الجدول باثني عشر عموداً ومئة صف.,,Pending,,
ui.how.the.provider.is.permitted.to.handle.what.it.is.sent.8a5b2181,How the provider is permitted to handle what it is sent.,كيف يُسمح للمزوّد بمعالجة ما يُرسل إليه.,,Pending,,
ui.how.this.was.composed.a455784c,How this was composed,كيف تم تكوين هذا,,Pending,,
module.hr.label,Human Resources,الموارد البشرية,,Pending,,
Hydration,Hydration,الترطيب,,Pending,,
Hypertensive or diabetic risk,Hypertensive or diabetic risk,خطر ارتفاع الضغط أو السكري,,Pending,,
ui.i.reviewed.the.clinical.content.8bdeac61,I reviewed the clinical content,راجعت المحتوى السريري,,Pending,,
INR — Indian rupee,INR — Indian rupee,INR — الروبية الهندية,,Pending,,
INR • Indian Rupee,INR • Indian Rupee,INR • الروبية الهندية,,Pending,,
field.user.owner.option.it-desk,IT Service Desk,مكتب خدمات تقنية المعلومات,,Pending,,
Id,Id,المعرّف,,Pending,,
section.hr-dashboard.general.description,"Identification, ownership and lifecycle.",التعريف والملكية ودورة الحياة.,,Pending,,
section.user.identity.title,Identity,الهوية,,Pending,,
menu.hr.identity.label,Identity & Access,الهوية والوصول,,Pending,,
field.user.owner.option.identity-ops,Identity Operations,عمليات الهوية,,Pending,,
ui.identity.and.contact.details.b0f56cb6,Identity and contact details,الهوية وبيانات الاتصال,,Pending,,
"Identity, access, organization assignment, security policy and personal settings.","Identity, access, organization assignment, security policy and personal settings.",الهوية والوصول والتعيين التنظيمي وسياسة الأمان والإعدادات الشخصية.,,Pending,,
Ids and versions only. Prompt,Ids and versions only. Prompt,المعرّفات والإصدارات فقط. التعليمات,,Pending,,
ui.ids.and.versions.only.prompt.e8f8a0a3,Ids and versions only. Prompt ,المعرّفات والإصدارات فقط. التعليمات ,,Pending,,
ui.ids.and.versions.the.text.stays.on.the.server.976cd4c2,Ids and versions. The text stays on the server.,المعرّفات والإصدارات. يبقى النص على الخادم.,,Pending,,
menu.healthcare.imaging-worklist.label,Imaging,التصوير الطبي,,Pending,,
Immunisation status,Immunisation status,حالة التطعيم,,Pending,,
ui.import.2cff9baa,Import,استيراد,,Pending,,
menu.library.import-export.label,Import & Export,الاستيراد والتصدير,,Pending,,
Import & export,Import & export,الاستيراد والتصدير,,Pending,,
ui.import.excel.csv.f5248759,Import Excel / CSV,استيراد Excel / CSV,,Pending,,
Import at most 500 data rows at a time.,Import at most 500 data rows at a time.,استورد 500 صف بيانات كحد أقصى في المرة.,,Pending,,
api.message.7d30c09e015a,Import exceeds the service request limit.,يتجاوز الاستيراد حد طلب الخدمة.,,Pending,,
